day,rank,classroom,capacity,occupied_periods,Dw,fw
mon,1,55S-03-01,50,0.0,0.0,2.0
mon,2,55S-03-07,50,0.0,0.0,2.0
mon,3,63PC-E,50,0.0,0.0,2.0
mon,4,63PC-F,48,0.0,0.0,2.0833333333333335
mon,5,61-210,108,0.5,0.5,463.8888888888889
mon,6,61-306,108,0.5,0.5,463.8888888888889
mon,7,61-102B,135,1.0,1.0,741.4814814814814
mon,8,54-302,121,1.0,1.0,827.2727272727271
mon,9,56-103,240,2.0,2.0,833.7499999999999
mon,10,61-104,108,1.0,1.0,926.8518518518518
tue,1,52-201,142,0.0,0.0,0.7042253521126761
tue,2,61-206,108,0.0,0.0,0.9259259259259259
tue,3,61-306,108,0.0,0.0,0.9259259259259259
tue,4,61-409,108,0.0,0.0,0.9259259259259259
tue,5,63PC-C,100,0.0,0.0,1.0
tue,6,61-314,90,0.0,0.0,1.1111111111111112
tue,7,63PC-B,80,0.0,0.0,1.25
tue,8,55S-03-03,50,0.0,0.0,2.0
tue,9,63PC-E,50,0.0,0.0,2.0
tue,10,63PC-G,48,0.0,0.0,2.0833333333333335
wed,1,61-104,108,0.0,0.0,0.9259259259259259
wed,2,61-310,108,0.0,0.0,0.9259259259259259
wed,3,61-405,108,0.0,0.0,0.9259259259259259
wed,4,61-202,90,0.0,0.0,1.1111111111111112
wed,5,61-401,90,0.0,0.0,1.1111111111111112
wed,6,54-B04,66,0.0,0.0,1.5151515151515151
wed,7,55S-03-09,50,0.0,0.0,2.0
wed,8,63PC-E,50,0.0,0.0,2.0
wed,9,63PC-D,48,0.0,0.0,2.0833333333333335
wed,10,57-202,420,2.0,2.0,476.4285714285714
thu,1,57-202,420,0.0,0.0,0.2380952380952381
thu,2,55S-03-08,150,0.0,0.0,0.6666666666666666
thu,3,61-104,108,0.0,0.0,0.9259259259259259
thu,4,61-306,108,0.0,0.0,0.9259259259259259
thu,5,61-310,108,0.0,0.0,0.9259259259259259
thu,6,61-405,108,0.0,0.0,0.9259259259259259
thu,7,61-302,90,0.0,0.0,1.1111111111111112
thu,8,55S-03-03,50,0.0,0.0,2.0
thu,9,63PC-E,50,0.0,0.0,2.0
thu,10,63PC-D,48,0.0,0.0,2.0833333333333335
fri,1,52-202,201,0.0,0.0,0.4975124378109453
fri,2,54-404,121,0.0,0.0,0.8264462809917356
fri,3,61-206,108,0.0,0.0,0.9259259259259259
fri,4,61-310,108,0.0,0.0,0.9259259259259259
fri,5,61-405,108,0.0,0.0,0.9259259259259259
fri,6,61-314,90,0.0,0.0,1.1111111111111112
fri,7,61-413,90,0.0,0.0,1.1111111111111112
fri,8,63PC-F,48,0.0,0.0,2.0833333333333335
fri,9,63PC-G,48,0.0,0.0,2.0833333333333335
fri,10,57-202,420,1.0,1.0,238.33333333333331
